Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-08-08 13:30:00+00:00	461,207	154408	4	202,849	202,849	0	4	0
2013-08-08 13:31:00+00:00	460,561	80378,6	2	17,997	17,997	0	2	0
2013-08-08 13:32:00+00:00	460,332	62406,3	7	115,071	20,165	39,553	2	2
2013-08-08 13:33:00+00:00	460,233	60187,4	1	173,043	173,043	0	1	0
2013-08-08 13:34:00+00:00	460,461	49985,2	0	0	0	0	0	0
2013-08-08 13:35:00+00:00	460,561	34865,4	1	31,702	31,702	0	1	0
2013-08-08 13:36:00+00:00	460,083	53029,9	3	38,85	38,85	0	3	0
2013-08-08 13:37:00+00:00	459,636	63868,8	3	164,278	134,546	0	2	0
2013-08-08 13:38:00+00:00	459,626	53370,8	2	38,843	9,111	0	1	0
2013-08-08 13:39:00+00:00	459,527	50492,1	1	23,791	23,791	0	1	0
2013-08-08 13:40:00+00:00	459,894	41379,2	0	0	0	0	0	0
2013-08-08 13:41:00+00:00	460,044	27902	2	16,208	0	0	0	0
2013-08-08 13:42:00+00:00	459,865	28350,6	11	307,168	19,672	0	1	0
2013-08-08 13:43:00+00:00	460,252	31746,3	2	48,035	0	40,224	0	1
2013-08-08 13:44:00+00:00	460,511	53838,6	2	47,318	0	19,157	0	1
2013-08-08 13:45:00+00:00	461,207	63238,1	2	36,043	3,317	0	1	0
2013-08-08 13:46:00+00:00	460,421	41343	2	60,96	11	0	1	0
2013-08-08 13:47:00+00:00	460,829	32317,6	1	7,937	0	0	0	0
2013-08-08 13:48:00+00:00	460,829	37668,7	4	194,966	6	19,157	1	1
2013-08-08 13:49:00+00:00	461,008	43020,8	1	29,732	29,732	0	1	0
2013-08-08 13:50:00+00:00	459,954	46742,4	2	48,889	0	19,157	0	1
2013-08-08 13:51:00+00:00	460,233	23650,3	4	262,344	189,289	0	3	0
2013-08-08 13:52:00+00:00	460,073	23741,8	1	106,986	0	0	0	0
2013-08-08 13:53:00+00:00	460,322	15643,8	5	953,889	0	4,123	0	1
2013-08-08 13:54:00+00:00	460,193	17786,3	3	48,77	43,026	0	2	0
2013-08-08 13:55:00+00:00	460,093	22762,1	1	14,967	0	0	0	0
2013-08-08 13:56:00+00:00	460,302	24187,4	4	221,476	129,159	47,445	1	1
2013-08-08 13:57:00+00:00	460,153	25773,6	5	86,566	20,616	27,095	1	2
2013-08-08 13:58:00+00:00	460,233	22052	2	18,426	10,489	0,001	1	0
2013-08-08 13:59:00+00:00	460,103	19782,8	3	85,098	7,938	0,001	1	0
2013-08-08 14:00:00+00:00	459,795	57148,8	0	0,001	0,001	0,001	0	0
2013-08-08 14:01:00+00:00	458,393	111392	2	54,204	49,961	0,001	1	0
2013-08-08 14:02:00+00:00	458,393	80951	2	14,331	10,725	3,607	1	1
2013-08-08 14:03:00+00:00	457,787	62934,4	4	62,084	0,001	7,939	0	1
2013-08-08 14:04:00+00:00	458,095	50710,4	4	161,446	24,146	120,991	1	2
2013-08-08 14:05:00+00:00	457,379	76511,2	4	64,573	0,001	41,963	0	2
2013-08-08 14:06:00+00:00	456,494	103879	4	70,737	48,124	0,001	2	0
2013-08-08 14:07:00+00:00	456,852	53490,5	5	354,697	0,001	202,351	0	4
2013-08-08 14:08:00+00:00	456,683	30938,6	6	189,618	96,458	62,044	2	2
2013-08-08 14:09:00+00:00	456,683	36528,1	4	174,19	9,979	20,785	2	1
2013-08-08 14:10:00+00:00	456,166	52759,3	7	227,694	38,743	151,872	1	4
2013-08-08 14:11:00+00:00	455,769	69340,6	2	49,832	0	0	0	0
2013-08-08 14:12:00+00:00	456,057	44539,6	1	20,397	0	0	0	0
2013-08-08 14:13:00+00:00	456,017	48054	2	281,006	281,005	0	1	0
2013-08-08 14:14:00+00:00	455,908	75816,2	4	339,874	58,867	0	3	0
2013-08-08 14:15:00+00:00	455,391	72523	9	380,085	59,178	8,81	3	2
2013-08-08 14:16:00+00:00	455,56	55043,6	5	122,022	3,872	101,564	1	3
2013-08-08 14:17:00+00:00	455,58	79489,5	2	33,337	21,047	-0,001	1	0
2013-08-08 14:18:00+00:00	456,395	70791	3	34,032	11,532	-0,001	1	0
2013-08-08 14:19:00+00:00	456,494	85661,3	1	7,811	7,81	-0,001	1	0
2013-08-08 14:20:00+00:00	456,594	63770,2	1	20,397	0	20,395	0	1
2013-08-08 14:21:00+00:00	456,574	37178,8	2	416,348	18,358	-0,001	1	0
2013-08-08 14:22:00+00:00	456,504	39793	0	0	0	-0,001	0	0
2013-08-08 14:23:00+00:00	456,017	56669	2	79,09	0	-0,001	0	0
2013-08-08 14:24:00+00:00	456,037	63320,6	1	18,735	0	18,734	0	1
2013-08-08 14:25:00+00:00	456,196	32136,6	3	44,806	13,711	25,709	1	1
