Datetime	Close	Volume	MSFT-count	MSFT-followers	MSFT-followers happy	MSFT-followers sad
2013-08-08 13:30:00+00:00	31,8029	477607	1	18,028	18,028	0
2013-08-08 13:31:00+00:00	31,7931	224290	1	339,115	339,115	0
2013-08-08 13:32:00+00:00	31,7833	224031	8	126,517	15,716	0
2013-08-08 13:33:00+00:00	31,7734	186387	3	29,092	5,385	23,706
2013-08-08 13:34:00+00:00	31,7833	155921	1	18,304	18,303	0
2013-08-08 13:35:00+00:00	31,8029	192064	2	180,125	51	0
2013-08-08 13:36:00+00:00	31,8325	147709	2	29,581	12,61	0
2013-08-08 13:37:00+00:00	31,8029	105842	7	110,065	51,594	0
2013-08-08 13:38:00+00:00	31,7537	139480	4	27,903	8,485	1
2013-08-08 13:39:00+00:00	31,6847	134448	6	147,551	147,55	0
2013-08-08 13:40:00+00:00	31,6551	92471,3	1	36,879	0	0
2013-08-08 13:41:00+00:00	31,665	149345	2	21,061	0	13,379
2013-08-08 13:42:00+00:00	31,7439	160720	4	82,129	10,1	30,265
2013-08-08 13:43:00+00:00	31,7241	125246	0	0,001	0	0
2013-08-08 13:44:00+00:00	31,7241	79535,1	0	0,001	0	0
2013-08-08 13:45:00+00:00	31,6945	64719,7	3	131,287	10,1	87,04
2013-08-08 13:46:00+00:00	31,7044	67243,2	2	30,733	0	29,732
2013-08-08 13:47:00+00:00	31,7044	243378	3	45,306	0	0
2013-08-08 13:48:00+00:00	31,7439	166001	2	163,792	0	11,446
2013-08-08 13:49:00+00:00	31,7143	154664	3	39,189	28,464	0
2013-08-08 13:50:00+00:00	31,7044	135824	0	0,001	0	0
2013-08-08 13:51:00+00:00	31,7143	269481	2	262,208	0	92,233
2013-08-08 13:52:00+00:00	31,7143	178449	4	70,249	32,3	0
2013-08-08 13:53:00+00:00	31,7143	88288,8	2	860,912	6,633	0
2013-08-08 13:54:00+00:00	31,7241	70534,9	3	52,486	0	0
2013-08-08 13:55:00+00:00	31,7241	80125,7	1	32,343	32,342	0
2013-08-08 13:56:00+00:00	31,7439	77533,2	0	0,001	0	0
2013-08-08 13:57:00+00:00	31,7044	86000,7	2	29,969	10,296	19,672
2013-08-08 13:58:00+00:00	31,7339	80229,2	2	21,831	12,083	0
2013-08-08 13:59:00+00:00	31,7143	174212	0	0,001	0	0
2013-08-08 14:00:00+00:00	31,665	187264	1	8,661	8,66	0
2013-08-08 14:01:00+00:00	31,6551	221338	0	0,001	0	0
2013-08-08 14:02:00+00:00	31,6551	217178	5	169,153	44,362	37,987
2013-08-08 14:03:00+00:00	31,7143	174104	1	24,291	0	24,29
2013-08-08 14:04:00+00:00	31,7339	255710	1	8,368	8,367	0
2013-08-08 14:05:00+00:00	31,7241	211003	0	0,001	0	0
2013-08-08 14:06:00+00:00	31,7143	208103	1	4,244	4,243	0
2013-08-08 14:07:00+00:00	31,6749	119301	1	5,479	5,478	0
2013-08-08 14:08:00+00:00	31,6749	41634,6	3	32,354	21,726	10,627
2013-08-08 14:09:00+00:00	31,665	174444	1	4,125	0	0
2013-08-08 14:10:00+00:00	31,6354	227205	1	25,751	0	0
2013-08-08 14:11:00+00:00	31,6157	178139	0	0,002	0	0
2013-08-08 14:12:00+00:00	31,6256	183278	1	4,002	4	0
2013-08-08 14:13:00+00:00	31,6453	124070	3	289,952	289,95	0
2013-08-08 14:14:00+00:00	31,665	209541	0	0,002	0	0
2013-08-08 14:15:00+00:00	31,6847	272112	2	198,191	0	0
2013-08-08 14:16:00+00:00	31,6551	186728	0	0,002	0	0
2013-08-08 14:17:00+00:00	31,6847	101537	4	66,381	22,847	40,369
2013-08-08 14:18:00+00:00	31,6945	137807	3	61,001	11,445	0
2013-08-08 14:19:00+00:00	31,7241	123738	1	34,426	-0,001	0
2013-08-08 14:20:00+00:00	31,6945	58065,4	1	30,514	-0,001	0
2013-08-08 14:21:00+00:00	31,6847	28962,2	0	0,002	-0,001	0
2013-08-08 14:22:00+00:00	31,6945	536194	0	0,002	-0,001	0
2013-08-08 14:23:00+00:00	31,7339	610438	0	0,002	-0,001	0
2013-08-08 14:24:00+00:00	31,7734	467655	4	205,601	48,207	0
2013-08-08 14:25:00+00:00	31,8424	443074	0	0,002	-0,001	0
2013-08-08 14:26:00+00:00	31,8818	568459	0	0,002	-0,001	0
2013-08-08 14:27:00+00:00	31,941	426117	2	27,091	-0,001	0
2013-08-08 14:28:00+00:00	31,9606	271771	1	6,636	6,632	0
2013-08-08 14:29:00+00:00	31,9508	483838	4	91,833	25,208	66,621
2013-08-08 14:30:00+00:00	32	683112	2	5,199	3,463	0
2013-08-08 14:31:00+00:00	32,0099	505404	2	75,077	75,073	0
2013-08-08 14:32:00+00:00	31,9606	228551	7	330,258	-0,001	243,614
2013-08-08 14:33:00+00:00	31,931	146606	4	273,471	164,1	0
2013-08-08 14:34:00+00:00	31,8916	178111	2	58,085	26,19	0
2013-08-08 14:35:00+00:00	31,931	280732	3	45,881	9,796	11,79
2013-08-08 14:36:00+00:00	31,9508	249625	3	216,829	143,424	24,146
2013-08-08 14:37:00+00:00	31,9705	158350	3	61,741	55,736	0,001
2013-08-08 14:38:00+00:00	31,9902	310955	3	53,855	45,726	8,125
2013-08-08 14:39:00+00:00	32,0198	460801	3	145,753	145,748	0,001
2013-08-08 14:40:00+00:00	32,1381	620476	3	55,186	33,363	0,001
2013-08-08 14:41:00+00:00	32,2169	611528	2	60,868	55,667	5,197
2013-08-08 14:42:00+00:00	32,2464	568408	7	147,69	97,519	30,469
2013-08-08 14:43:00+00:00	32,3056	629003	9	468,972	331,005	45,388
2013-08-08 14:44:00+00:00	32,3647	637439	2	101,315	101,309	0,001
2013-08-08 14:45:00+00:00	32,2957	479174	3	57,791	20,88	0,001
2013-08-08 14:46:00+00:00	32,3154	439110	4	333,158	-0,001	57,524
2013-08-08 14:47:00+00:00	32,2563	360083	5	131,231	-0,001	107,415
2013-08-08 14:48:00+00:00	32,207	252103	1	129,129	-0,001	0,001
2013-08-08 14:49:00+00:00	32,1676	293666	4	64,445	11,957	0,001
2013-08-08 14:50:00+00:00	32,0789	405027	4	80,001	48,465	21,75
2013-08-08 14:51:00+00:00	32,1577	247140	4	1337,51	4,999	0,001
2013-08-08 14:52:00+00:00	32,1479	195746	2	134,559	134,553	0,001
2013-08-08 14:53:00+00:00	32,2267	396848	3	81,862	81,856	0,001
2013-08-08 14:54:00+00:00	32,2662	309220	3	385,158	132,207	0,001
2013-08-08 14:55:00+00:00	32,276	238353	1	27,354	27,348	0,001
2013-08-08 14:56:00+00:00	32,3352	348851	1	17,64	-0,002	0,001
2013-08-08 14:57:00+00:00	32,3746	361872	7	215,069	169,295	20,568
2013-08-08 14:58:00+00:00	32,3647	246929	1	15,302	-0,002	0,001
2013-08-08 14:59:00+00:00	32,3942	312557	2	71,337	-0,002	63,333
2013-08-08 15:00:00+00:00	32,3942	299874	3	70,121	61,17	4,473
2013-08-08 15:01:00+00:00	32,4238	294921	10	863,068	805,163	3,743
2013-08-08 15:02:00+00:00	32,414	299154	1	12,374	-0,002	0,001
2013-08-08 15:03:00+00:00	32,414	251614	3	31,794	26,688	0,001
2013-08-08 15:04:00+00:00	32,4436	281646	2	19,277	19,27	0,001
2013-08-08 15:05:00+00:00	32,4238	282279	3	167,216	19,872	0,001
2013-08-08 15:06:00+00:00	32,414	386338	4	47,498	36,391	11,101
2013-08-08 15:07:00+00:00	32,4436	243533	0	0,005	-0,003	0,001
2013-08-08 15:08:00+00:00	32,4534	179753	1	27,06	-0,003	27,056
2013-08-08 15:09:00+00:00	32,4436	151892	1	132,22	132,213	0,001
2013-08-08 15:10:00+00:00	32,4928	308337	1	16,16	-0,003	16,156
2013-08-08 15:11:00+00:00	32,5125	481647	5	147,51	147,503	0,001
2013-08-08 15:12:00+00:00	32,4928	399503	6	242,083	204,593	0,001
2013-08-08 15:13:00+00:00	32,4436	196366	3	64,29	-0,002	27,368
2013-08-08 15:14:00+00:00	32,4436	415335	2	327,37	306,675	0,001
2013-08-08 15:15:00+00:00	32,4731	228041	0	0,004	-0,002	0,001
2013-08-08 15:16:00+00:00	32,483	165417	3	114,088	98,302	0,001
2013-08-08 15:17:00+00:00	32,5224	141586	2	61,072	61,066	0,001
2013-08-08 15:18:00+00:00	32,5125	122628	4	212,275	212,269	0,001
2013-08-08 15:19:00+00:00	32,5224	547552	5	145,369	115,706	9,056
2013-08-08 15:20:00+00:00	32,4928	374849	3	26,901	4,12	0,001
2013-08-08 15:21:00+00:00	32,483	141361	3	21,395	0,997	0,001
2013-08-08 15:22:00+00:00	32,4633	210987	3	45,476	-0,003	29,598
2013-08-08 15:23:00+00:00	32,4238	180313	1	4,004	3,997	0,001
2013-08-08 15:24:00+00:00	32,414	270800	3	54,747	22,558	0,001
2013-08-08 15:25:00+00:00	32,414	183048	1	27,699	27,692	0,001
2013-08-08 15:26:00+00:00	32,3942	208709	2	278,622	229,871	0,001
2013-08-08 15:27:00+00:00	32,3844	134870	3	71,335	32,598	0,001
2013-08-08 15:28:00+00:00	32,3844	71159,9	3	138,392	89,535	25,061
2013-08-08 15:29:00+00:00	32,4041	111207	3	228,397	89,541	19,495
2013-08-08 15:30:00+00:00	32,3844	179487	3	67,659	51,498	16,157
2013-08-08 15:31:00+00:00	32,3844	312896	2	250,662	250,656	0,002
2013-08-08 15:32:00+00:00	32,3647	207685	1	229,877	229,871	0,002
2013-08-08 15:33:00+00:00	32,3746	170182	3	62,265	37,948	0,002
2013-08-08 15:34:00+00:00	32,3942	133003	2	7,239	-0,003	7,238
2013-08-08 15:35:00+00:00	32,3942	80073,9	2	202,174	167,89	34,28
2013-08-08 15:36:00+00:00	32,3942	48662,3	2	82,129	15,064	0,002
2013-08-08 15:37:00+00:00	32,3844	202985	0	0,003	-0,003	0,002
2013-08-08 15:38:00+00:00	32,3844	250893	1	7,94	-0,003	0,002
2013-08-08 15:39:00+00:00	32,3352	142275	3	48,739	34,275	0,002
2013-08-08 15:40:00+00:00	32,3647	181321	1	23,793	-0,003	0,002
2013-08-08 15:41:00+00:00	32,345	229789	1	41,039	41,034	0,002
2013-08-08 15:42:00+00:00	32,2957	109932	0	0,002	-0,003	0,002
2013-08-08 15:43:00+00:00	32,2957	84353,8	0	0,002	-0,003	0,002
2013-08-08 15:44:00+00:00	32,2662	118253	0	0,002	-0,003	0,002
2013-08-08 15:45:00+00:00	32,2366	224363	5	241,182	-0,003	0,002
2013-08-08 15:46:00+00:00	32,1971	228993	0	0,002	-0,003	0,002
2013-08-08 15:47:00+00:00	32,2464	143813	2	102,035	12,487	0,002
2013-08-08 15:48:00+00:00	32,2366	103821	3	65,711	-0,003	24,312
2013-08-08 15:49:00+00:00	32,2366	87816	1	51,732	-0,003	51,732
2013-08-08 15:50:00+00:00	32,2563	56274,5	0	0,002	-0,003	0,002
2013-08-08 15:51:00+00:00	32,2563	33349,7	0	0,002	-0,003	0,002
2013-08-08 15:52:00+00:00	32,2563	35953,3	2	67,525	63,778	0,002
2013-08-08 15:53:00+00:00	32,2563	95621,9	0	0,002	-0,003	0,002
2013-08-08 15:54:00+00:00	32,2464	122601	0	0,002	-0,003	0,002
2013-08-08 15:55:00+00:00	32,2858	131979	1	854,278	-0,003	854,278
2013-08-08 15:56:00+00:00	32,2957	130589	3	45,47	43,733	1,734
2013-08-08 15:57:00+00:00	32,276	91022,4	0	0,002	-0,003	0,002
2013-08-08 15:58:00+00:00	32,2563	87528,8	1	19,211	-0,003	19,211
2013-08-08 15:59:00+00:00	32,276	91007,2	0	0,002	-0,003	0,002
2013-08-08 16:00:00+00:00	32,2957	95205,9	2	302,837	287,568	15,266
2013-08-08 16:01:00+00:00	32,2957	101068	8	1752,323	1335,934	395,941
2013-08-08 16:02:00+00:00	32,3548	193898	2	85,712	-0,003	12,452
2013-08-08 16:03:00+00:00	32,3942	108589	1	7,282	-0,003	7,282
